smiles
CS(=O)(=O)CCCNN
N=C(N)C1=C[C@@H](O)[C@@H](O)[C@@H](CO)O1
N[C@@H](CO)C(=O)NCCO
CNS(=O)(=O)C[C@@H]1CNCCO1
CO[C@H]1[C@@H](O)[C@H](O)CO[C@H]1O
O=C(NCCO)C1=NN=CC1
N[C@@H]1CNC[C@H]1O
N[C@H]1CO[C@@H]2[C@H](N)CO[C@H]12
C[C@@H](O)CN1CCN(CCN)CC1
CCNC(CO)CO
OC[C@@H]1NC[C@H]2CNC[C@H]21
OC[C@@H]1O[C@@H](O)[C@@H](O)[C@@H]1O
NC(=O)[C@H]1NC(=O)CNC1=O
O[C@@]1(c2nn[nH]n2)CCNC1
OC[C@@H](O)COC[C@H]1CO1
NC1=NCC(=O)O1
NC(=O)[C@H](N)[C@@H]1CCOC1
O=C(O)[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O
CN1C(=O)[C@@H]2CC[C@H](C1=O)N2N
O=C(O)[C@H](O)[C@H](F)C(=O)O
NCCCC[C@H]1NC(=O)CNC1=O
NC[C@]1(CO)CCNC1
NC(=O)[C@]1(N2CCNCC2)CCOC1
N[C@@H]1C[C@H](O)[C@H](O)C[C@@H]1C(=O)O
CN1C(=O)[C@@H]2NCN[C@@H]2N(C)C1=O
NCCCCNC(=O)C(O)O
N[S@](=O)C1CS(=O)(=O)C1
C[C@]12NCCN1CCN1CCN[C@H]12
C1CNNCCN1
NC(=O)CC[C@H]1NC(=O)CNC1=O
O=C1NC(=O)[C@H]2CC[C@H]1N2
CN1CC(NC#N)=NCC1=O
OC[C@H]1O[C@@H](O)[C@H](O)[C@H]1O
COCCOCCNC(=O)C(=O)O
O=c1[nH]c(=O)n(Cl)c(=O)[nH]1
CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1F
C[C@H]1C(=O)NC(=O)N[C@H]1O
OC[C@@H]1NC[C@@H]2CNC[C@@H]21
CN1C(=O)CN(N)C1=O
CC(C)[C@@H]1NS(=O)(=O)NC1=O
NC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
CC1=NC[C@H](O)[C@H](C(=O)O)N1
NC[C@@H]1OCO[C@H]1C(=O)NC1CC1
CN1CN2C[C@H](O)C[C@@H]2C1=O
NC(=O)[C@@H](N)C[C@@H](F)C(N)=O
O=C1NC(=O)C2(COC2)N1
Cn1nnc(CN)c1C(=O)O
O=C1C[C@@H](O)[C@@H](CO)O[C@@H]1O
CN(CC(=O)O)C[C@@H](O)CO
C[C@@H](C(N)=O)N1CC(=O)NC(=O)C1
NC1C(=O)NC(=S)NC1=O
NC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
Cn1cnnc1[C@H](N)CO
CS(=O)(=O)N1CC(CN)C1
CNC(=O)C[C@@H]1NCCN(C)C1=O
O=C(O)[C@H](O)CN1CCOCC1
N[C@H]1CCN(CC(=O)O)C1=O
C[C@]12NCCN[C@@]1(C)NCCN2
CN(C)CC(=O)N(C)CCC(N)=O
CCC(=O)NCC(=O)NCC(=O)O
COC(=O)[C@@H]1C[C@H](C(=O)O)N1
O=C1NCCN1CO
COCN1C(=O)N(CO)[C@H](O)[C@@H]1O
COC(=O)C1(CO)CNC1
NC(=O)CC[C@@H]1NCOC1=O
O=C(O)[C@@H]1O[C@H]2CNC[C@@H]1O2
O[C@]1(c2nn[nH]n2)CCNC1
OC[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O
N[C@@H](Cc1cc(=O)[nH]c(=O)[nH]1)C(=O)O
Cn1ccc(=O)n(CCCN)c1=O
C[C@]1(C(=O)O)C[C@H](O)[C@H](O)CO1
CCOC(=O)[C@@H](O)[C@H](O)C(=O)O
OCC1CNNC1
COC(=O)C1(O)COC1
NNCCN1CCNCC1
NS(=O)(=O)NCCCO
C[C@@H]1CN(C=O)[C@@H](O)[C@@H](O)N1C=O
O=S(=O)(O)NO
O=c1[nH]cnc2[nH][nH]c(=O)c12
CCOC(=O)[C@@H]1C[C@H](N)[C@@H](O)[C@@H]1O
CN1C[C@H](N)CCS1(=O)=O
N[C@H]1C=C[C@@H](O)[C@@H](O)[C@@H]1O
CC(=O)N[C@H](Cc1c[nH]cn1)C(N)=O
C[C@@H]1[C@H](C(=O)O)[C@H](O)C(=O)N1C
N[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Nc1c(O)c(=O)c1=O
CN1[C@@H](CN)CCS1(=O)=O
CO[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O
C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
C[C@@H]1NC(=O)[C@H](CCCN)NC1=O
OC[C@@H]1O[C@H](O)[C@@H](F)[C@@H](O)[C@@H]1O
COCC(=O)NCCN
C[C@@H](CN)NCCO
O=CN[C@H]1NCCN[C@@H]1NC=O
NC[C@H]1CS(=O)(=O)CCO1
COCNC(=O)NCO
N[C@@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O
N=C(N)NC(=O)c1nccnc1N
O=C1NC(=O)C(=O)[C@@H](O)N1
O[C@@H]1CO[C@@H](O)[C@@H](O)C1
O=C1OC(=O)[C@@H]2[C@H]1[C@H]1O[C@H]2[C@@H]2O[C@@H]21
CO[C@@H](CO)CN1CCNCC1
NC(=S)N1CC(N)C1
CC(=O)N[C@@H]1C[C@H](CO)[C@@H](O)[C@@H]1O
C[C@H](O)CNCCN1CCNCC1
NC1=CC(=O)NC(=O)C1
CO[C@H](CO)CN1CCNCC1
N[C@@H]1C(=O)N[C@H](C(=O)O)[C@H]1O
N[C@@H]1[C@@H](O)C[C@H]1O
OC[C@H](O)COB(O)O
OC[C@@]12O[C@@H]1[C@@H](O)[C@@H]1O[C@@H]12
OC(O)C1O[C@@H](O)[C@H](O)O1
COC(=O)CC1(N)CS(=O)(=O)C1
O=C(O)B[C@@](O)(CC(=O)O)C(=O)O
NC(=O)[C@@H]1NC(=O)NC1=O
CC(=O)[C@@H](NC=O)C(N)=O
COC(=O)C[C@H]1NC(=O)CNC1=O
CN1C(=O)[C@@H]2NCN[C@H]2N(C)C1=O
CN(C)C(=O)[C@@](C)(O)CO
NC1=NNC(=O)[C@@H]1N
N[C@@H]1NCN[C@H]2NCN[C@@H]12
OC[C@@]1(O)[C@H](O)C=CC[C@H]1O
N[C@H](CCOCCO)C(=O)O
CN1CCO[C@H](C(=O)O)C1=O
NC(=O)[C@]1(O)C[C@@H](O)[C@H]2O[C@H]21
NC1=N[C@@H](O)N=CN1
Nc1oc2c(N)[n+]([O-])n(O)c2c1O
CC(=O)[C@H]1C(=O)CNC1=O
